~~C1 Sheet

voltage: 1982.42mv
Concentation: 4943.75ppm
voltage: 1987.30mv
Concentation: 4959.37ppm
voltage: 1806.64mv
Concentation: 4393.75ppm
voltage: 1445.31mv
Concentation: 3265.62ppm
voltage: 1562.50mv
Concentation: 3631.25ppm
voltage: 2138.67mv
Concentation: 5431.25ppm
Preheating. Current voltage: 53.71mv
Preheating. Current voltage: 249.02mv
Preheating. Current voltage: 380.86mv
voltage: 449.22mv
Concentation: 153.13ppm
voltage: 444.34mv
Concentation: 137.50ppm
voltage: 478.52mv
Concentation: 243.75ppm
voltage: 478.52mv
Concentation: 243.75ppm
voltage: 498.05mv
Concentation: 306.25ppm
voltage: 498.05mv
Concentation: 306.25ppm
voltage: 502.93mv
Concentation: 318.75ppm
voltage: 502.93mv
Concentation: 318.75ppm
voltage: 507.81mv
Concentation: 334.38ppm
voltage: 507.81mv
Concentation: 334.38ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 527.34mv
Concentation: 396.88ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 527.34mv
Concentation: 396.88ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 532.23mv
Concentation: 412.50ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 537.11mv
Concentation: 428.13ppm
voltage: 517.58mv
Concentation: 365.63ppm
voltage: 537.11mv
Concentation: 428.13ppm
voltage: 512.70mv
Concentation: 350.00ppm
voltage: 537.11mv
Concentation: 428.13ppm
voltage: 517.58mv
Concentation: 365.63ppm
